,VALUE SENTIMEN,tanggal,pengguna,isi teks,data_bersih
0,0,2022-05-16T10:02:28.000Z,Fraksi Gerindra MPR/DPR Republik Indonesia,"""Kondisi bangsa ini menghadapi kenyataan bahwa, dengan segala hormat, Pak Jokowi memberikan benchmark kepemimpinan nasional yang tinggi, loh kok ini penggantinya, mohon maaf, scoringnya agak jauh dari Pak Jokowi, masyarakat berpikir kenapa tidak tiga periode saja,"" ucapnya (BAS)",kondisi bangsa hadap nyata hormat jokowi benchmark pimpin nasional ganti mohon maaf scoringnya jokowi masyarakat pikir tiga periode bas
1,0,2022-06-14T06:47:02.000Z,Putra Jembes,"""Tiga periode itu proyek mimpi. Saat ini Jokowi harus menghadapi kesadaran kemandirian partai dan kesadaran masyarakat akan bahaya ideologi politik populisme. Projo cuma mau menjerumuskan Jokowi dan membuat rusak bangsa dan tatanan politik."" - @Andiarief__ (Bappilu @PDemokrat) https://t.co/jf3EOWmXms",tiga periode proyek mimpi jokowi hadap sadar mandiri partai sadar masyarakat bahaya ideologi politik populisme projo jerumus jokowi rusak bangsa tatanan politik bappilu httpstcojfeowmxms
2,0,2022-06-29T09:21:57.000Z,Hadi Djawas,"""Tolak penundaan pemilu dan masa perpangjang jabatan presiden. Presiden harus bertindak tegas terhadap para menteri yang memberikan statement tiga periode,"" sambungnya.
#Tolak3Periode 
#Tolak3Periode
https://t.co/9x6WfA8N7v",tolak tunda milu perpangjang jabat presiden presiden tindak menteri kalimat tiga periode sambung tolakperiode tolakperiode httpstcoxwfanv
3,0,2022-06-14T11:39:58.000Z,cah lokal jiwa nasional,#BacktoBDM @bdm2502 bersama Ulin Yusron (@ulinyusron) membahas isu-isu tentang penundaan pemilu 2024. Ulin Yusron yang seorang relawan Jokowi dengan tegas menolak jabatan presiden tiga periode. Tonton video di sini: https://t.co/tVSTaXx97A https://t.co/zB52Un4cYl,backtobdm ulin yusron bahas isuisu tunda milu ulin yusron rawan jokowi tolak jabat presiden tiga periode tonton video httpstcotvstaxxa httpstcozbuncyl
4,0,2022-06-29T01:02:53.000Z,Answerts,"#Projo #Jokowi #3Periode 

Saya bilang ke teman-teman Projo, kita harus jeli, jangan-jangan tiga periode, jangan-jangan perpanjangan masa jabatan
 
https://t.co/JvWjclwX5Z lewat @serambinews",projo jokowi periode temanteman projo jeli janganjangan tiga periode janganjangan panjang jabat httpstcojvwjclwxz
5,0,2022-06-29T06:03:06.000Z,SuTaryo,"#Rilis | Partai Gelora: Parpol Pro Jokowi Munculkan Kembali Presiden Tiga Periode Dalam Bentuk Baru
https://t.co/MjyhQiB3Tl @anismatta @Fahrihamzah @Mahfuzsidik_ @achmadnurhdyt",rilis partai gelora parpol pro jokowi muncul presiden tiga periode bentuk httpstcomjyhqibtl
6,0,2022-04-22T15:51:42.000Z,Junet,"#salam3periode
#rakyatmenghendaki
#SuaraRakyatsuaraTuhan
#jokowitigaperiode
#NkriPastiMaju
#NKRIhargamati",salamperiode rakyatmenghendaki suararakyatsuaratuhan jokowitigaperiode nkripastimaju nkrihargamati
7,0,2022-06-15T16:05:02.000Z,Repelita Online,"..https://t.co/sDQsz9zkJk

Hotman Paris Hutapea menyinggung soal masa jabatan tiga periode Ketua Umum Peradi Otto Hasibuan. Seperti apa?",httpstcosdqszzkjk hotman paris hutapea singgung jabat tiga periode ketua adi otto hasibuan
8,0,2022-06-11T23:59:46.000Z,Ayy-SAGA,"@_Qirani__Ayara @jokowi Kalau menurut konfirmasi hadir beliau .. Mungkin juga sekalian mo bagi"" kaos tiga periode ama para pembalap formula E .. Mungkin lo yah",konfirmasi hadir beliau kaos tiga periode balap formula e
9,0,2022-06-10T13:02:06.000Z,Santriwati,"@03__nakula Saya kok jadi berkobar untuk menyuarakan
#JokowiTigaPeriode https://t.co/qgPthid4Jh",kobar suara jokowitigaperiode httpstcoqgpthidjh
10,0,2022-06-27T04:43:34.000Z,IDN Times,@AchmadAnnama Dua dari tiga sekondan itu adalah pengagas jokowi perpanjang jabatan dan 3 periode yg di sponsori LBP...maka tak aneh publik berpikiran ini kerjanya L4...luhut lagi luhut lagi...,tiga sekondan agas jokowi panjang jabat periode sponsor lbpmaka aneh publik pikir kerja lluhut luhut
11,0,2022-04-16T00:07:21.000Z,| SEKNAS RI™ |,"@AdhieMassardi ini tweet bisa dipertanggungjawabkan, ada buktinya pa Jokowi ingin tiga periode.... halu",tweet dipertanggungjawabkan bukti pa jokowi tiga periode halu
12,0,2022-06-03T18:22:04.000Z,Suara Rakyat Moderat,"@AdhieMassardi Negara dan bangsa ini gak boleh kalah oleh Projo, kasian pak Jokowi sudah menolak tiga periode, tapi didorong terus..",negara bangsa kalah projo kasihan jokowi tolak tiga periode dorong
13,0,2022-06-17T10:47:43.000Z,Partai Gelora Indonesia,"@ahmadsaifulch @agung57553525 @YRuhiyat3 @kurawa Udah baca isi beritanya? Permintaan ybs untuk menjadikan deepawali jadi libur nasional aja ga dikabulkan, mulai sebelum jadi presiden, sampai sekarang udah 2 periode dan mau habis masa jabatan.",baca isi berita minta ybs jadi deepawali libur nasional kabul presiden periode habis jabat
14,0,2022-06-15T12:02:13.000Z,anak ayam,"@ajegilelu1 @RamliRizal makanya mahasiswa demo salah satunya menolak usulan perpanjangan masa jabatan presiden.

krn kalau tidak di tolak oleh mahasiswa itu akan ada amandemen UUD ttg masa jabatan presiden.

Klo sudah di amandemen SAH 3 PERIODE.",mahasiswa demo salah satu tolak usul panjang jabat presiden tolak mahasiswa amandemen uud ttg jabat presiden amandemen sah periode
15,0,2022-06-18T02:59:05.000Z,Mediana Farol's,"@akunugrahaa @BERKARYA_NET Bener sih.. yang jatuhin lawan politik sama rakyat aja bedanya.. 

Untungnya presiden sekarang sudah jelas menolak perpanjangan masa jabatan.. jadi beliau ya santai aja.. folus pada kerjaannya..",bener jatuhin lawan politik rakyat beda untung presiden tolak panjang jabat beliau santai folus kerja
16,0,2022-06-28T15:45:56.000Z,Publicanews,"@akunyangbaik @abd43658535 @bengkeldodo @DPDRI LaNyalla: DPD RI palang pintu agar jangan sampai ada penambahan tiga periode jabatan presiden
#SayNoTo3Periode  #lanyalla https://t.co/M7zecPpedP",lanyalla dpd ri palang pintu tambah tiga periode jabat presiden saynotoperiode lanyalla httpstcomzecppedp
17,0,2022-06-17T20:52:55.000Z,SUTAN SN,"@AlfridaPutri3 Selain itu, kata Ari, Jokowi mulai sadar usulan perpanjangan masa jabatan tiga periode bukan berasal dari kalangan akar rumput.

  Doakan Misi Jokowi",ari jokowi sadar usul panjang jabat tiga periode asal kalang akar rumput doa misi jokowi
18,0,2022-06-29T13:46:02.000Z,Voidotid,"@alisyarief Gerindra dukung prabowo,projo dukung jokowi tiga periode..terus saja gitu 
Nanti prabowo kalah lagi gabung lagi jd mntrinya jokowi..",gerindra dukung prabowoprojo dukung jokowi tiga periodeterus prabowo kalah gabung mntrinya jokowi
19,0,2022-06-15T13:28:02.000Z,Nanta Riee,@alvinlie21 @jokowi @ZUL_Hasan @Kemendag Terus nanti semua NIK dan KTP dijadikan bahan gadai tiga periode....kaluan syetan semua...,nik ktp jadi bahan gadai tiga periodekaluan syetan
20,0,2022-06-12T03:11:55.000Z,Kelana,"@aLy_Bima Jabatan presiden nya aja palsu, masa ngasih sertifikat tanah asli",jabat presiden palsu sertifikat tanah asli
21,0,2022-06-29T06:16:18.000Z,∆,@anamkoplak @BERKARYA_NET Saya bantu jelaskan ya de. Selama Pak Harto 32 tahun menjabat karena belum ada undang-undang yang mengatur masa jabatan. Sekarang setelah reformasi masa jabatan presiden hanya 2 periode. Masih tidak mengerti?,bantu de harto jabat undangundang atur jabat reformasi jabat presiden periode erti
22,0,2022-06-21T07:19:25.000Z,Jun_Pemulung,@Anggita_lung @garuda080 @jokowi Tidak ada wacana tiga periode,wacana tiga periode
23,0,2022-06-09T09:58:21.000Z,Enal Mappirewa,@ARIFILIZER @jokowi Pantesan banyak yg pengen tiga periode mas..,pantesan tiga periode mas
24,0,2022-06-29T05:48:03.000Z,Jds_notobotosongo,"@bachrum_achmadi Disitulah letak kebodohan anda.

Beda kasus karena SBY itu owner partai dgn masa kerja unlimited.
Beda dgn jabatan presiden yg masa kerjanya limited.",situ letak bodoh beda sby owner partai kerja unlimited beda jabat presiden kerja limited
25,0,2022-06-29T04:11:19.000Z,Kim Jong-Jan,"@BadruddinAl @september__26 @_ekokuntadhi Wkwkwk standar Inggris mau disamain sm rakyatnya Jokowi yg daya beli rendah, alangkah tololnya, makan tuh tiga periode !",wkwkwk standar inggris disamain rakyat jokowi daya beli rendah alangkah tolol makan tiga periode
26,0,2022-06-29T02:23:33.000Z,wusss,"@BERKARYA_NET Jadi curiga nih, jgn-jgn yg nafsu sekali pingin pak de menjabat 3 periode, sekolahnya cuman nyampe pintu gerbang sekolah aja, jadi pas mata pelajaran PMP tentang masa jabatan presiden, mereka gak tau.",curiga jgnjgn nafsu de jabat periode sekolah pintu gerbang sekolah pas mata ajar pmp jabat presiden
27,0,2022-06-29T01:48:21.000Z,PΛЩΛПG BΛПƬΣПG,@bernadetss kami bosaaaan dengan dramaaa ini. #JokowiTigaPeriode wkwkwkwkwkwk,bosaaaan dramaaa jokowitigaperiode wkwkwkwkwkwk
