VALUE SENTIMEN,tanggal,pengguna,isi teks
0,2022-05-16T10:02:28.000Z,Fraksi Gerindra MPR/DPR Republik Indonesia,"""Kondisi bangsa ini menghadapi kenyataan bahwa, dengan segala hormat, Pak Jokowi memberikan benchmark kepemimpinan nasional yang tinggi, loh kok ini penggantinya, mohon maaf, scoringnya agak jauh dari Pak Jokowi, masyarakat berpikir kenapa tidak tiga periode saja,"" ucapnya (BAS)"
0,2022-06-14T06:47:02.000Z,Putra Jembes,"""Tiga periode itu proyek mimpi. Saat ini Jokowi harus menghadapi kesadaran kemandirian partai dan kesadaran masyarakat akan bahaya ideologi politik populisme. Projo cuma mau menjerumuskan Jokowi dan membuat rusak bangsa dan tatanan politik."" - @Andiarief__ (Bappilu @PDemokrat) https://t.co/jf3EOWmXms"
0,2022-06-29T09:21:57.000Z,Hadi Djawas,"""Tolak penundaan pemilu dan masa perpangjang jabatan presiden. Presiden harus bertindak tegas terhadap para menteri yang memberikan statement tiga periode,"" sambungnya.
#Tolak3Periode 
#Tolak3Periode
https://t.co/9x6WfA8N7v"
0,2022-06-14T11:39:58.000Z,cah lokal jiwa nasional,#BacktoBDM @bdm2502 bersama Ulin Yusron (@ulinyusron) membahas isu-isu tentang penundaan pemilu 2024. Ulin Yusron yang seorang relawan Jokowi dengan tegas menolak jabatan presiden tiga periode. Tonton video di sini: https://t.co/tVSTaXx97A https://t.co/zB52Un4cYl
0,2022-06-29T01:02:53.000Z,Answerts,"#Projo #Jokowi #3Periode 

Saya bilang ke teman-teman Projo, kita harus jeli, jangan-jangan tiga periode, jangan-jangan perpanjangan masa jabatan
 
https://t.co/JvWjclwX5Z lewat @serambinews"
0,2022-06-29T06:03:06.000Z,SuTaryo,"#Rilis | Partai Gelora: Parpol Pro Jokowi Munculkan Kembali Presiden Tiga Periode Dalam Bentuk Baru
https://t.co/MjyhQiB3Tl @anismatta @Fahrihamzah @Mahfuzsidik_ @achmadnurhdyt"
0,2022-04-22T15:51:42.000Z,Junet,"#salam3periode
#rakyatmenghendaki
#SuaraRakyatsuaraTuhan
#jokowitigaperiode
#NkriPastiMaju
#NKRIhargamati"
0,2022-06-15T16:05:02.000Z,Repelita Online,"..https://t.co/sDQsz9zkJk

Hotman Paris Hutapea menyinggung soal masa jabatan tiga periode Ketua Umum Peradi Otto Hasibuan. Seperti apa?"
0,2022-06-11T23:59:46.000Z,Ayy-SAGA,"@_Qirani__Ayara @jokowi Kalau menurut konfirmasi hadir beliau .. Mungkin juga sekalian mo bagi"" kaos tiga periode ama para pembalap formula E .. Mungkin lo yah"
0,2022-06-10T13:02:06.000Z,Santriwati,"@03__nakula Saya kok jadi berkobar untuk menyuarakan
#JokowiTigaPeriode https://t.co/qgPthid4Jh"
0,2022-06-27T04:43:34.000Z,IDN Times,@AchmadAnnama Dua dari tiga sekondan itu adalah pengagas jokowi perpanjang jabatan dan 3 periode yg di sponsori LBP...maka tak aneh publik berpikiran ini kerjanya L4...luhut lagi luhut lagi...
0,2022-04-16T00:07:21.000Z,| SEKNAS RI™ |,"@AdhieMassardi ini tweet bisa dipertanggungjawabkan, ada buktinya pa Jokowi ingin tiga periode.... halu"
0,2022-06-03T18:22:04.000Z,Suara Rakyat Moderat,"@AdhieMassardi Negara dan bangsa ini gak boleh kalah oleh Projo, kasian pak Jokowi sudah menolak tiga periode, tapi didorong terus.."
0,2022-06-17T10:47:43.000Z,Partai Gelora Indonesia,"@ahmadsaifulch @agung57553525 @YRuhiyat3 @kurawa Udah baca isi beritanya? Permintaan ybs untuk menjadikan deepawali jadi libur nasional aja ga dikabulkan, mulai sebelum jadi presiden, sampai sekarang udah 2 periode dan mau habis masa jabatan."
0,2022-06-15T12:02:13.000Z,anak ayam,"@ajegilelu1 @RamliRizal makanya mahasiswa demo salah satunya menolak usulan perpanjangan masa jabatan presiden.

krn kalau tidak di tolak oleh mahasiswa itu akan ada amandemen UUD ttg masa jabatan presiden.

Klo sudah di amandemen SAH 3 PERIODE."
0,2022-06-18T02:59:05.000Z,Mediana Farol's,"@akunugrahaa @BERKARYA_NET Bener sih.. yang jatuhin lawan politik sama rakyat aja bedanya.. 

Untungnya presiden sekarang sudah jelas menolak perpanjangan masa jabatan.. jadi beliau ya santai aja.. folus pada kerjaannya.."
0,2022-06-28T15:45:56.000Z,Publicanews,"@akunyangbaik @abd43658535 @bengkeldodo @DPDRI LaNyalla: DPD RI palang pintu agar jangan sampai ada penambahan tiga periode jabatan presiden
#SayNoTo3Periode  #lanyalla https://t.co/M7zecPpedP"
0,2022-06-17T20:52:55.000Z,SUTAN SN,"@AlfridaPutri3 Selain itu, kata Ari, Jokowi mulai sadar usulan perpanjangan masa jabatan tiga periode bukan berasal dari kalangan akar rumput.

  Doakan Misi Jokowi"
